"CommentID","AuthorChannelID","AuthorDisplayName","Comment","PublishedAt"
"Ugz2HCmnMCYI39XmFLV4AaABAg","UCWdsM0yVdP85YJkLtS12fzQ","Dizongirls Plays Roblox","omggg the sidekick of catherine she said something that they told her that she would have three kids and the youngest would be a boy and that’s true!!!!",2021-02-22 01:15:46
"Ugw7K-stEsySCfoHwox4AaABAg","UCedaRUsFKqJbn_aAiTucz2w","nimbus2001","do you wanna deliver the baby?

him looking everywhere but his wife obviously not wanting to do it:👀 👀 👀 will i get scarred? isnt it bloody? i don’t want the girls to feel bad.",2021-02-21 07:05:00
"UgyIecu-z1tG_mN4UQ94AaABAg","UC6dvhj0pRsi6pnoYo89RZ9w","sousou zd9","It's sooo cute😍😍😍",2021-02-20 21:17:01
"Ugzx0jsphYU0O4VMgOx4AaABAg","UC2oaGRnQr9Mp8_eac4tezeQ","Maria Angela Rodriguez","So happy my favorite  Catherine  for ever  had",2021-02-20 15:05:22
"UgwFL5MD6L401fwMfTR4AaABAg","UCppaIUUFLctzO0WPjKHYT-g","zahryah little","9:27",2021-02-19 20:11:53
"UgyAuzLhLlXg5tB42SN4AaABAg","UCppaIUUFLctzO0WPjKHYT-g","zahryah little","8:48",2021-02-19 20:09:41
"UgwwrLl4oX8ZpoC-aEx4AaABAg","UCXKIEZqATPglrIBPvYHKmDA","Bethany Tatsey","Awww 🥰",2021-02-19 19:44:13
"UgzNAJMlMewXFVmAuWJ4AaABAg","UCheC4KnIVzUVTq0A6VNdNtQ","Keithrell Allen","Good go",2021-02-19 06:10:18
"UgzQ8bmyN0dn3aGKPct4AaABAg","UCPpCeaWDIqrAUb1u9fyRafQ","Ever Green","this guy is the biggest loser",2021-02-18 18:05:03
"UgyagAonZOeE888R9Rx4AaABAg","UCk3rTpw-_wPwcNaeVouy1qA","Naira Mohsen","الله",2021-02-17 20:58:33
"UgzHF74lAgDOQqV4fVN4AaABAg","UCiNSxxuSJqdcCqcs8Q0_VMA","virdy salcedo","❤️❤️❤️❤️❤️❤️",2021-02-17 15:32:45
"UgwExl_r9dHYKkvU86B4AaABAg","UCx25ax-n-it0N1YeLsbOgWg","Juwel Nath jitu","JUWEL,,",2021-02-17 07:27:50
"UgxHuTGGs9DIgvAZPDl4AaABAg","UCIB446qty3mGu-p4im4n88g","Rainy Unique","💙💙💙💙💙💙🔮 Instagram blocked me from commenting for the Tesla so here I am lol",2021-02-17 01:49:18
"UgyZIbSgnXidCijA2S14AaABAg","UCI2-Um6MPq5sPrf4sPKxSZA","Genesis Guerrero","Boy",2021-02-17 01:02:25
"Ugw6Tyv-OGwA_aJu2Uh4AaABAg","UCI2-Um6MPq5sPrf4sPKxSZA","Genesis Guerrero","Bpy",2021-02-17 01:02:17
"UgyOt5q-DoR8kHlAF3F4AaABAg","UCBT--xj4L0g_1QGlkZ83QLA","Olivia Craigen","wait am I the only one seeing this and noicing that the uteround says dolarous mcbroom......",2021-02-16 23:44:44
"UgxRioXozwRezjaXzBR4AaABAg","UCOtcVFHxiEJZf6oVhBFM5uw","Zoe Lovick","Anybody here from stinkyasher-",2021-02-16 23:01:44
"UgxUShON6bru0TZZ6ER4AaABAg","UCB09gXbL7YPUKs_xTCBlVig","lewis borg","great job love you guys and babby boy so cute well done pushing yay",2021-02-16 15:55:13
"UgzJ2fa8o25Xti-nDQF4AaABAg","UCF9Y-wZYP1Cw5rUpGCufR9w","Daniel Izquierdo-leyva","Lol",2021-02-16 14:30:03
"UgzgC3lg0coe3l-ZFU54AaABAg","UCF9Y-wZYP1Cw5rUpGCufR9w","Daniel Izquierdo-leyva","Haha",2021-02-16 14:29:57
"UgxOVm3i9tK2Kr4O9gl4AaABAg","UC6frpx7xt6q9OmQqv56bOUw","Kimberly Cerro","😢😢😢😢😢❤️❤️❤️❤️",2021-02-15 05:19:27
"UgwW2Cc0m1QgkX7BsJR4AaABAg","UCWPpDh3f1Khp9GR5EAf7VzQ","Aliyah","LMFAOO , the “ omg.. yay 🙄 “",2021-02-14 07:33:49
"Ugy7fNuHEkB8DU9pLY14AaABAg","UCeaekh1406AUKHY5LrsQwGQ","Keisha Simms","She is a strong woman",2021-02-13 02:34:23
"Ugz6DHKGIaphFQfzDgN4AaABAg","UCH4_2cVo_CFJ-d_B-E5P1GA","Fatima Belarbi","يا الله شعور رائع",2021-02-12 16:26:19
"UgxpEWHvks9xGxlIoat4AaABAg","UC6GhDyUv60cMwsq-Kr548gg","Anon Cutie","Y'all complain he's making a YouTube video of her birth. They get PAID TO DO IT. They both want to video that. Not only that, but some people like to record the births to remember that moment forever. I know I would. So shut up or don't watch.",2021-02-11 22:27:16
"Ugy5QRZs5OdRaebJLyt4AaABAg","UCnP-03kX6_eLhwDjAj11hAg","Lia Nicole Tacon","Would he shut the fuck up he’s acting like he’s pushing the kid out",2021-02-11 16:10:55
"Ugz8_NyqSuaIyp4Pem54AaABAg","UCQwN1o94cmzsE-s0jNZDohA","Abigale Thompson","❤️",2021-02-11 04:09:44
"UgxL-ZEc4xewZtT3BKF4AaABAg","UCUUmsEgQKIgaBYyC-acKbMA","erika bonifacio","This is how you KNOW they use their kids for clout. Austin is not even being supportive, hes just looking at himself through the camera",2021-02-09 14:57:46
"UgzoNWJD9A1kz_JD3p94AaABAg","UC_qjUCWPtDR5UHn0RnTMvyQ","Ruby Hodge","🤗🤗",2021-02-09 14:10:14
"UgzhPG9uDactabW2PrJ4AaABAg","UC20p4u9e5ljflEefgbp_1fg","wilfredo rojas","Hello",2021-02-09 07:33:30
"UgwTxRq9MRpaKv0lYXN4AaABAg","UC2c78k_HHBxTdaqf66F5lxg","WeirdoMia 2011","😀😃😄😁😆😅🤣😂😘🤩😍😇😊😉🙃🙂😗☺️😚😙😙😋😋😛😜🤪🤨🤐🤔🤫🤭🤗🤑😝😐😑😶😏😏😒🙄😬🤥😌😔😪🤤😴😷🤒🤕🤢🤮🤧😵🤯🤠😎🤓😲😯😮☹️☹️🙁😟😕🧐😕😟🙁☹️😮😯😲😭😢😥😰😨😧😦😳😱😖😣😞😓😩😫😤😈👿💀🤬😠😡☠️💩😺🤖👾👽👻👺👹🤡😸😹😻😼😽🙀😿😾🙉🙈🙊💋💌💘💝💖❤️💔❣️💟💕💞💓💗🧡💛💚💙💜🖤💯💢👁️‍🗨️💬💣🕳️💨💦💫💥🗨️🗯️💭💤👋🤚🖐️✋👈🤙🤘🤟🤞✌️👌🖖👉👆👇☝️👍👎✊🤝🤲👐🙌👏🤜🤛👊🙏✍️💅🤳💪👂👃🧠👱‍♂️🧑🧒👶👄👅👁️👀👱‍♀️🧔🧓🙍‍♂️🙍‍♀️🙎‍♂️🙎‍♀️🙅‍♂️🙇‍♂️🙋‍♀️🙋‍♂️💁‍♀️💁‍♂️🙆‍♀️🙆‍♂️🙅‍♀️🙇‍♀️👩‍🎓👨‍🏫🤦‍♂️🤦‍♀️👩‍🏫👨‍⚖️🤷‍♂️🤷‍♀️👩‍⚖️👨‍🌾👨‍⚕️👩‍⚕️👩‍🌾👨‍🍳👨‍🎓👩‍🍳👩‍🔬👨‍💻👨‍🔧👩‍🔧👩‍💻👨‍🎤👨‍🏭👩‍🏭👩‍🎤👨‍🎨👨‍💼👩‍💼👩‍🎨👨‍✈️👨‍🔬🕵️‍♀️👩‍✈️👨‍🚀💂‍♂️💂‍♀️👩‍🚀👨‍🚒👷‍♂️👷‍♀️👩‍🚒👮‍♂️🤴👸👮‍♀️🕵️‍♂️👳‍♂️👳‍♀️🎅🤶👲🧕🧙‍♂️🧙‍♀️🤵👰🧚‍♂️🧚‍♀️🤰🤱🧛‍♂️👼🧛‍♀️🧟‍♀️🧟‍♂️🧞‍♀️🧞‍♂️🧝‍♀️🧝‍♂️🧜‍♀️🧜‍♂️💆‍♂️💆‍♀️💇‍♂️💇‍♀️🚶‍♂️🚶‍♀️🏃‍♂️🏃‍♀️💃🕺🧗‍♀️🤺🏇🕴️👯‍♂️⛷️🏂👯‍♀️🧖‍♂️🏌️‍♂️🏌️‍♀️🧖‍♀️🧗‍♂️🏄‍♂️🏋️‍♂️⛹️‍♀️⛹️‍♂️🏊‍♀️🏊‍♂️🚣‍♀️🚣‍♂️🏄‍♀️🏋️‍♀️🚴‍♂️🚴‍♀️🚵‍♂️🚵‍♀️🤸‍♂️🤸‍♀️🤼‍♂️🧘‍♂️🤹‍♀️🤹‍♂️🤾‍♀️🤾‍♂️🤽‍♀️🤽‍♂️🤼‍♀️🧘‍♀️🛀🛌👭👫👬👩‍❤️‍💋‍👨👨‍❤️‍💋‍👨👨‍👩‍👧‍👦👨‍👩‍👧👨‍👩‍👦👨‍👩‍👦👩‍❤️‍👩👨‍❤️‍👨👩‍❤️‍👨👩‍❤️‍💋‍👩👨‍👩‍👦‍👦👨‍👩‍👧‍👧👨‍👨‍👦👨‍👨‍👧👨‍👨‍👧‍👦👨‍👨‍👦‍👦👨‍👨‍👧‍👧👩‍👩‍👦👨‍👧‍👦👨‍👧👨‍👦‍👦👨‍👦👩‍👩‍👧‍👧👩‍👩‍👦‍👦👩‍👩‍👧‍👦👩‍👩‍👧👨‍👧‍👧👩‍👦👩‍👦‍👦👩‍👧👩‍👧‍👦👩‍👧‍👧🗣️👤👣👥",2021-02-08 22:33:18
"UgxmVAyy2xLOCisOciR4AaABAg","UC2c78k_HHBxTdaqf66F5lxg","WeirdoMia 2011","Awwww so cute ❤️🧡💛💚💙💜💗💕",2021-02-08 22:26:08
"UgzKnQwcGJTwssjoDSN4AaABAg","UCoKds10cPdTiwwBF7HjtZaQ","Asli Cam","What’s his birth time ?",2021-02-08 16:38:36
"UgxGzjfZ43jbLiXYjmF4AaABAg","UCAidu0vTSpqFIdTSLU5lE4A","Naveed Hussain","I think Austin ran because there was no boy and they named it steel",2021-02-08 13:19:42
"UgyRhj3HLfD1tA1v1WF4AaABAg","UCSuQWcYBw18tm0ZsmX7EE8Q","Weave megan","I’ve seen teen dads do a better job helping/encouraging their significant other give birth",2021-02-08 07:09:31
"Ugz5y_3J1dinMfJYNNh4AaABAg","UC-WQasiSj6zqnGYARrGFU_g","Elayna","You guys are blessed",2021-02-06 23:32:27
"UgxhBFlXQexamYJfz694AaABAg","UC9xcWOt4Ieov1jP2yymvzpw","Belinda Chavez","🍼🍼🍼🍼☕🍬🍬🍬🐳🐋🐟🍹🍼🍼🍹🐟🐋🐳🍬💙😂🕪🕪🕩🕩🕩🕨🕨🔊🔊🔉🔈🔇📻📱📲🎼🐋🐳🐟🏢🏜🏝🌍🌎🌏🏔🗺🌐🏢🏣🏕🏖🏙🏥🏦🚮🛃🚰♿♿🚹🚣🚤🚤🚤🚭🚭🚭🚳🚣🛄🛄🛃🛃🚽🚾🚻🚴🚵⛔🚬🚱🚱⛌⛍⛐⛒⛓⛕⛗⛖⛙⛙⛜⛝⛞⛓⛕⛖⛘⛜⛞⛠⛡⛶ℹⓂ↩↪🔷🔃🔄ℹⓂ⛺⛲",2021-02-06 16:24:47
"Ugw3ThMK8nfEHXJRY5x4AaABAg","UC9xcWOt4Ieov1jP2yymvzpw","Belinda Chavez","Bb 😄😙😙😙😙😙😙😙💙💖💙💖💚💗💖💙💗💗💖💖💗💙💙💖💗💙💙💙💙💙💔💓💞💟💞💞💝💜❤💋👄💗🖓👣🖒🖓🖒🖒🖒🖓🖓🖓📔🏹🏹🏹🏹🏹🏵🏵🏵🏵🏵🏵🏵🏵🏵🏵🏵🏵🏵🏵🏵🏵🏵🏵",2021-02-06 16:21:53
"Ugy3RZeDF64WTwbpmZt4AaABAg","UCBMtAaxQU41Mfnyg2uuUK7w","Jerileigh","Unsubscribe if you know what him and his dad get upto.. Wife pretends she doesn't know, and his ass should be in jail. Even his own daughter is scared of him.",2021-02-06 12:16:04
"UgzQzcE4uR8DCQMpkrN4AaABAg","UCUY8TcBjFcNKwMQwPmoKtKQ","عراق احلى ناس","soooooo Love BABY",2021-02-06 05:29:17
"UgyQD37n9REZmXtq1Jl4AaABAg","UC9z4Bsq-gja-b9AV87QcYng","Bella E","omg I pushed and cried together <3",2021-02-05 17:57:08
"UgynZQvp6BozgwpCEJp4AaABAg","UCnD-tatf3AUlmEUqfpauneA","Salomé López mercado","I love baby boy stell",2021-02-05 02:36:02
"UgwVQmSob1CdaildkIF4AaABAg","UCHZDmxeQxaGn6rdlDAZE49g","sarah Mountford789","Girl",2021-02-04 21:13:59
"UgwD_7anQJum4IQ7lB14AaABAg","UCJHUQvaBmtABBhH3ln7ItjQ","Alphaz_ Shadow","catherine i hope that you were delighted with lol ok i want you to know that you tought you couldnt do it but you just did it congrats on baby steel",2021-02-02 20:04:35
"Ugy_o70ITYfcf6VdeRd4AaABAg","UC81ue8OGkKWy6GZhXKYUsWg","Laiba Jimeal","She is so strong",2021-02-02 14:55:33
"UgxFDB0oc246s5Wvytd4AaABAg","UCfJy8ttWNcFNuFM5j7G3XRA","Iyla L. Ford","im haveing a baby too",2021-02-02 14:15:33
"UgyqmsnaexA0cN1owdJ4AaABAg","UCK3ijbViq8eNcNgNinaDGGw","Gloria Jones","Heads up for all the people giving Austin crap for looking in the camera during the delivery, it’s obvious he’s trying to point the camera so we can see the birth properly. Stop nitpicking and be excited that we as random strangers get to be a part of their most special moments!",2021-02-02 03:00:29
"UgyIJM5m-CfL1Ot-hsR4AaABAg","UCJDKHvYY4bwIObiNzqmaXOA","alixlea plays","I’m gonna have threee kids and the last ones a boy",2021-02-02 02:10:23
"Ugw-6o7Idu3SKUiEGEh4AaABAg","UCgBHVYwLzxu_GPa54kypytA","Ube","I don’t mind family channels... I don’t mind family channels that monetize there videos... it’s the family channels that shove cameras at there children’s faces 24/7 and profit out of every second of it as if they’re merely ATM machines...",2021-01-30 03:10:46
"UgyLjKzf6iDd48dtSMp4AaABAg","UCUMaBvYGBLWwNHbJn8U-cqA","Leslygx3","I was pregnant when I watched this and wondered why she didn’t yell while giving birth and realized she took the epidural for pain. I recently gave birth and had the epidural myself and when I pushed my baby I felt no pain but pressure. The only hard thing was the breathing in and pushing while holding breath in",2021-01-28 19:17:18
"Ugyw3M12ggvsEqSULmR4AaABAg","UCFPcb_Yu-Zld7p36iGbP_hA","Kalilu Trawally","Zxfxdvhcvh😭😭😭😭",2021-01-28 16:51:46
"UgyjT6vF1U8Fr-hNRkV4AaABAg","UCgBHVYwLzxu_GPa54kypytA","Ube","I’m sorry but why are they monetizing a video focused around their new born kid. Its like they profit out of their own children from the day they are born. Disgusting...",2021-01-28 05:04:35
"UgxmYG2gqKuBb0z3n4t4AaABAg","UCIPdMkAiIP4kr4QTyCs_r_A","jalyn delrey","Him trying to get out of delivering the baby 😆😆😆😆",2021-01-27 11:16:44
"UgwvaTVqcPSdmHdeNCl4AaABAg","UCiJoRkKxjAKpyvGpBljvdHg","Michelle Cordeiro","Get a real job",2021-01-26 18:42:16
"Ugxm3ARGTpFlwV_SXLt4AaABAg","UCiJoRkKxjAKpyvGpBljvdHg","Michelle Cordeiro","That’s how they make there money. And have new cars a new home. With making easy money. Just to make videos",2021-01-26 18:42:03
"UgwqP4yXeZ8Lr8rIEDx4AaABAg","UCWWBvtE-qhr3Z3MkZteiXkg","Sameeha","LMFOAOAOAO WHAT HAPPENED TO HOME BIRTH 😭😭✋🏽✋🏽",2021-01-26 11:49:35
"Ugy25qOccDh5VEPs8ix4AaABAg","UCzFfjkH5Ccqtu3_n72UwmIA","Vilma Barrera","😘😘😍😘",2021-01-25 03:41:17
"UgxJ7dfoO3p1ABHiGGd4AaABAg","UCMp6GcnOra8vqLQlMUUdiog","kimsue miller","she looks gorgeou",2021-01-22 19:20:25
"Ugx6CVOryk84qhQAQvh4AaABAg","UCt7KW8V8hr2aX4Jda-wNb1w","Alien ElinPup","Dude this is just wrong image being born amd the first thing I see is a camera so wrong have birth with peace",2021-01-22 02:32:34
"UgxhiHelTQPyglJkof54AaABAg","UC1sU2x0zbkZmU53FCxUhx7A","JOSMARY MORA","i cried that my mom came and cried to",2021-01-21 21:35:21
"UgzlNHsFrCl3niwBHwB4AaABAg","UCxwhD16MGAKb3tjYgcM1JWQ","Bubble Bass","Now they have another kid to exploit for money",2021-01-21 18:20:25
"UgwNhdHC54ctlNsJ_U94AaABAg","UC_ls4LTR3Y03OCS5Y6YctJw","Makayla Johnson","🤮🤮",2021-01-20 17:15:03
"Ugx5U6IeppwEsxqt05N4AaABAg","UCpejwO8gXPA5J5wLTe9lb5A","yeeitscharmaine","You guys realize Catherine had to hold her legs while she was pushing right.... Austin couldn’t have held her hand if he wanted",2021-01-20 07:20:57
"UgykC326rV6mX_vfy0F4AaABAg","UCCT32rLGtEyuD5loG3PsUVA","sajida ashrafi","Ths s not real wow she s delivering a baby how s that soo easy?! Its not real 😳😳😳😳😳😳 i was almost dead while giving birth how is it possible??????????!!!!!!!!",2021-01-19 09:39:36
"Ugyg3q-Wf8WtPxVBPft4AaABAg","UCAp0GgiKaQnwDo76R9uKsmA","Katrina Williams","Boy names that mean you want to work for me",2021-01-18 01:13:40
"Ugz_XajK5kWPYy50IZZ4AaABAg","UCGYYEe_QlmhWT_NcMd3O8Tg","Gianna Garate","Love this video so much ace family 💛😇🤗😍😋",2021-01-17 20:44:36
"UgyzKQsMTO7NBknBDD14AaABAg","UCgAbfpPiT4GJrDEA1oaiOnw","A song","Who else is obsessed with the intro😍😍",2021-01-17 07:40:06
"UgxywZ5QH4vjRLA0ng14AaABAg","UCcoxcQjsufNep1_st080pog","Serjee Serjmyadag","Dustin dont act like that",2021-01-16 20:41:13
"UgynJQkHDTw35gOVwgp4AaABAg","UCKFJFk9mLDF5BB4gRuZVw6Q","SiimplyDaisyy","I like the ace family thank you for sharing this video",2021-01-15 01:25:44
"UgzhIgUoJ2klaYt_cZ14AaABAg","UC6JUSFZcZyKBuykQFN6Cv8g","sami Soos","وش صار",2021-01-15 00:37:37
"Ugxv45Icx_Q5Jk-KtJl4AaABAg","UCLZ8BjFhU5ReawMhZF2Hpyg","Lil American","Who else thinks the Doctor almost sounds like Cher? :)",2021-01-14 17:53:09
"Ugwm3LUttnulzmKU6MJ4AaABAg","UCe-qd197DrmhJJYzfB14jDw","Fam jam girls","hi the ace family love baby 10000 love ace",2021-01-14 14:21:49
"Ugz4I4-ax7bUoLDzF-94AaABAg","UChCI957rRYEuOqUivDndcsg","April Sanders","WHY ARE YOU RECORDING YOUR WIFE GIVING BIRTH like I get it you got to get those views but still this is getting out of hand!",2021-01-14 02:29:21
"UgwtOleNsH0gZe-beEJ4AaABAg","UCpRcjcLepLgTcdNaMOP5D6A","Sarah Artis","Love the doctor was the best !!!! thats so amazing 😻!!! Can’t wait to become a nurse after that video",2021-01-13 16:54:50
"UgwxyV1fAFuvBIOsXXB4AaABAg","UCyVFTz5WAZJ5IbG_KDBk0xg","Razzez YT","The phycic or how ever you spell it was right",2021-01-13 04:35:00
"UgzruqY4KgyJG39fp-Z4AaABAg","UCV2T3x5LLdfWbRkKt7p0H4Q","sis and bros 4life","Add me back to the fair with 3",2021-01-13 01:39:26
"UgzqY3oOFkXHvuW1kaV4AaABAg","UC5NigmrWeVuJhM7JiHZKQyw","Aarsheia Bhalla","3:00 she looks soooo adorable❤️❤️",2021-01-12 15:59:59
"UgzeCLXvCRMwjBUZWHt4AaABAg","UC7VSMVCLmY-e-KlefP_ejaQ","Melanie Aburto","Having a baby is so painful so that's why i shouldn't have kids cause its scary",2021-01-11 12:28:21
"UgweJGujcI5ACdakkwR4AaABAg","UCAN6N3uES2ab9UuDGsmMucA","Tiarra Lord","Boy",2021-01-09 23:54:52
"UgzjKi6Ge8JPt02WhXl4AaABAg","UC6ELGoZbGynTi7_kZLLY1pg","Tico Gooo","Good job  love you",2021-01-08 19:01:21
"Ugw0ZLp0CgRXLMA5vL54AaABAg","UCylMYx-H1PVEnm91ESGSCpg","Vale gomez","OMG CONGRATS CATHERINE AND AUSTIN I LOVE U GUYS ❤❤❤",2021-01-08 18:19:53
"UgzG3ldBnr_JvR3X5uB4AaABAg","UCbQJEQlse98VL3GKH8kzfAQ","Lila Rawlins","OmG THAT girl was right",2021-01-08 04:23:36
"Ugxd5f0Y2ONGYH0B35V4AaABAg","UCwTc36AiUg5r7FMSDJO4TLg","Michelle Weigele","Typical narcissistic Austin looking at himself in the camera at himself the whole time while talking to Catherine yeah you got this let me see how my hair looks yup you got this just checking myself in the camera 🤦🏻‍♀️",2021-01-06 13:27:28
"UgxRrFiDmk01i5FXJ1B4AaABAg","UCRLsobBWWIX-ZGaCy1MN7cQ","HB HB","Who else was pushing while watching?",2021-01-06 02:10:14
"UgxnlBb8j063w6BM0sZ4AaABAg","UCF-rOUSiofGez_t4yofNv8g","MrLonewolf","I'm questioning why this is on YouTube freaking weirdos stop it what the f*** any normal human being won't see this if anything weirdos will come and see this",2021-01-05 10:19:37
"Ugz_e0UGmxSoQYnkZud4AaABAg","UCXD0VhDZ-388txKuZsSmZfg","Julian Pupo","Congratulations 👏 its a boy!!!!!",2021-01-03 20:50:14
"Ugwxvh3zoDlPvFE2fwx4AaABAg","UCiscQ5_weeHfwsjRlGud39Q","Jessie-mae Burley","Omg no way a side kick told u that and it happened",2021-01-03 01:15:51
"Ugxpw3F8-Ecs9qBpErV4AaABAg","UCK-5J2Dj544ldr74wLpBZ9Q","iiexmma","it feels pain by her face",2020-12-31 09:51:14
"Ugzp78KV38KvBKVo4MN4AaABAg","UCJ0ig0Mq9AO7ZyejyhL76Yw","Shaz Pop","Ace family you are the best family on the world i really love you with steal baby but all best wishes the prince family are always coping your words but love you ❤️❤️",2020-12-30 10:48:08
"UgxVz90qhJQCKuF2g5R4AaABAg","UCIoeb3dpgqb19cNBqaGNV6Q","Maria","Don't u just love how Austin left us to go see his son that made me cry it wS so sweet",2020-12-30 09:08:17
"UgzMEfi9ZUYgNZaRknp4AaABAg","UCeYCKCzwxZGhAzW8_1Jx5OA","iman ita","Congratulations 
Next time I'll do an epidural for sure like you",2020-12-28 23:29:23
"UgxLC1PkWvyFOl_jbEJ4AaABAg","UCvgcqDzNO7VvAdu9Y3w_I0A","Caramel","If you're reading this Papa Diesel, look even the comments section is sh!t",2020-12-28 06:52:49
"UgyEC6QifOCNhUuwDaV4AaABAg","UCyNFgjFzFY-z4xx5CuFu7EA","binu sayid étoile","Love u ACE  family😘😘😘",2020-12-27 10:52:38
"UgxYIxSrd0BhMiy23EB4AaABAg","UC74wrplG8Eka0hnxzTZJVVg","Sue Lee","God bless you The ACE Family!",2020-12-25 02:30:39
"UgwMSMDRBv3xwMkTRId4AaABAg","UCCYz2-s-hGjro0MGufJtplg","Your Toilet","I can't stand some of you guys in this comments y'all complaining how Austin is focused on the film. OK AND. At least he's a father and he was there by his wife's side. If he wasn't filming at all then that would have been a problem for y'all!",2020-12-21 05:03:08
"Ugz-qLFhoE5QxKY18Kt4AaABAg","UChxa_ok_XK0FYjiEWPAmFbA","38k Keke","The fact that he was worried about getting it on tape instead of holding his wife’s hand when she’s in pAiN! Is just.....Wow Catherine Needs to take her kids and leave they’ll just have to co parent.",2020-12-20 05:30:19
"Ugxiq9HakNuP590oW814AaABAg","UC_TVWWXhizl7WcSo16aYBhA","Tawana Smalls","It's A Boy",2020-12-19 20:53:30
"Ugy73OghY_kX0AMM4Zx4AaABAg","UCF343WYRb4OKEdGnmQ-01kA","Kayana Darby","Hi",2020-12-19 10:54:56
"UgxelI-PiLpzglp4S8Z4AaABAg","UC3r8VyMOuadTIJoliZ0HL2w","Abi Henderson","Love how everyone is like hold her hand, nah when I was pushing I wanted no one touching me at all 😂",2020-12-17 23:46:20
"UgxzGZugLlDGcHDQBMp4AaABAg","UCxdvNJD9ziv7DNcIQaAhU9w","Maria Castro","I already know she's going to have she's going to have a boy",2020-12-17 05:34:28
"UgyYd1MaPBlYbHSlE2F4AaABAg","UCKBk21J0gwshgaRyzqnVuDw","Unknown Girl","She said 3 kids and youngest a boy 😇😇😇",2020-12-15 19:42:49
"UgyRckrgnpb2j7G_oUl4AaABAg","UCo52doTqENdYl0WtkPnGO8g","Madison Quinn","Catherine is a queen and the strongest woman🥺❤️❤️",2020-12-15 15:32:53
"Ugy9qThNyf1Aoqij4Lp4AaABAg","UC6KiH6JEOLx-Ay6z1gSfQSQ","Roseline Nelao","Awwwww😄this so cute....I very happy and excited for you.....the Bible says ask and you shall be given and you asked and boom you got wat you asked for..congratulations",2020-12-14 22:56:38
"UgwfR26ggLB4X2Wj09t4AaABAg","UCJ6DA8rSdle_WLnEGged8zA","The Tapang Vlogs","Okay why am I holding my breath like I'm pushing?! 😭😭",2020-12-14 19:32:46
"UgzbVKkQRJ3HSyniw714AaABAg","UCIJ5fBg2hD7B_zE2HHsXOqg","Zlata Mur","Всем бы так рожать с улыбкой на лице!)",2020-12-12 19:14:32
"UgyVxAR7NYd2zlhswYx4AaABAg","UCM4qf5Qcse4YiUi1C1dlp3g","Shawna Nez","Yes yes yes",2020-12-12 05:51:51
"UgyAvymaKUYMds21c0p4AaABAg","UC-AXV_QO65zoTO9ouSMo9Kw","Kimanda Bigbie","Omg he was born 2 days before my birthday yay 😁 go cancer ♋️",2020-12-10 21:50:47
"Ugy8mUCUS9d580wUAtF4AaABAg","UCsVJE47Yub-hoqL62Skkd8Q","Makanaka B Mutsakani","I wish l could personally talk to all of you who are  talking trash about how Austin is just focusing on the YouTube vid........he literally was sitting there next to her which is all any other supportive partner can do.....what did you expect him to do...to be one to push Steel out.....please stop hating on this amazing husband to HIS wife  Not Yours and an exceptional dad to HIS kids not  yours",2020-12-10 15:51:48
"UgzCI9YV1fKtp4lTToB4AaABAg","UCQnk7kZ4yYGu3jXefSf-N1A","Senem Sipahi","Whats that fortune tellers name?:)))",2020-12-09 19:50:13
