Channel Name,Channel ID,Category
PewDiePie,UC-lHJZR3Gqxm24_Vd_AJ5Yw,Gaming
Markiplier,UCxubOASK0482qC5psq89MsQ,Gaming
iHasCupquake,UCqg2eLFNUu3QN3dttNeOWkw,Gaming
Jacksepticeye,UCYzPXprvl5Y-Sf0g4vX-m6g,Gaming
Tfue,UC9lSZSYpDDE18hoFA7YlBpw,Gaming
Lomadiah,UCj_dHQWv08dQ0fv6IrzTChQ,Gaming
itsJudysLife,UCK2ACorzpH-igxuHZ2ObCEA,Family
The ACE Family,UCWwWOFsW68TqXE-HZLC3WIA,Family
The LaBrant Fam,UC4-CH0epzZpD_ARhxCx6LaQ,Family
The Edwards Family,UCVNYw6ZGvK1_OhF8OG1OrKA,Family
SacconeJolys,UCxJrnvfqSSvly5hiq2Fe68g,Family
8 Passengers,UCQ3FRaHOIwXLOQNeUwVpBUA,Family
KKandbabyJ,UCU-ZXqhx1xjsxO1ftXJELdg,Family
The Bafana Family,UCFXGtL_FJUzpFc3idqBARZA,Family
The Hay Family,UCkWEz7TtcX8uX_HRktNSxUA,Family
Shay Mitchelle,UCDTtciKkf_AzXtKNUjkUEPg,Celebrity
Victoria Beckham,UC1QXhnP2qTw3ZbZ8Zikgz9w,Celebrity
Will Smith,UCKuHFYu3smtrl2AwwMOXOlg,Celebrity
Adam Savage’s Tested,UCiDJtJKMICpb9B1qf7qjEOA,Celebrity
Zac Efron,UCMfXZdevOn81h0Nqotrwl9A,Celebrity
Kylie Jenner,UCWkYXtnAuu7VTLPwUcRSB6A,Celebrity
Russell Brand,UCswH8ovgUp5Bdg-0_JTYFNw,Celebrity
JablinskiGames - Jack Black,UCuriCa9loP_OsH75_5j8M5w,Celebrity
Romee Strijd,UCOXFVINC6GCo86LBy0NQCIg,Celebrity
Caitlin Shoemaker,UC0cxMY7jZ_kiE2bvykJffZA,Food
Binging with Babish,UCJHA_jMfCvEnv-3kRjTCQXw,Food
Gordon Ramsey,UCIEv3lZ_tNXHzL3ox-_uUGQ,Food
Laura in the Kitchen,UCNbngWUqL2eqRw12yAwcICg,Food
MATTY MATHESON,UCpqH8-BBNTsluhcOzFKWLuw,Food
Simnett Nutrition,UCpyhJZhJQWKDdJCR07jPY-Q,Food
Adam Ragusea,UC9_p50tH3WmMslWRWKnM7dQ,Food
Pick Up Limes,UCq2E1mIwUKMWzCA4liA_XGQ,Food
CupcakeJemma,UCoMum0pwewO8_WtTlUQxGHw,Food
Joshua Weissman,UChBEbMKI1eCcejTtmI32UEw,Food
Brain Barcyzk,UC4zS1wbO81p59CxKL7CQAcA,Animal
Zak George's Dog Training Revolution,UCZzFRKsgVMhGTxffpzgTJlQ,Animal
Paul Cuffaro,UCKFtfFitaK83yBc0rlg9m1A,Animal
Emzotic,UCE37328iVnqSj1OCrgrYd8w,Animal
Kemp Kenan,UCpKXTEQJDiOtfeLa23_U5hg,Animal
Linus Tech Tips,UCXuqSBlHAE6Xw-yeJA0Tunw,Tech
Marques Brownlee,UCBJycsmduvYEL83R_U4JriQ,Tech
UrAvgConsumer,UC9fSZHEh6XsRpX-xJc6lT3A,Tech
Unbox Therapy,UCsTcErHg8oDvUnTzoqsYeNw,Tech
Jenna Ezarik,UC0gQe6RljqpKt7_7hjNTCpQ,Tech
Mrwhosetheboss,UCMiJRAwDNSNzuYeN2uWa0pA,Tech
JerryRigEverything,UCWFKCr40YwOZQx8FHU_ZqqQ,Tech
TechLead,UC4xKdmAXFh4ACyhpiQ_3qBw,Tech
iJustine,UCey_c7U86mJGz1VJWH5CYPA,Tech
Casey Neistat,UCtinbF-Q-fVthA0qrFQTgXQ,Vlog
Alfir Deyes Vlogs,UCnEn0EUV13IR-_TK7fiIp3g,Vlog
David Dorick,UCmh5gdwCx6lN7gEC20leNVA,Vlog
Julia Solomita,UC1KsxDW7hhfeq5QQmFtInIw,Vlog
Mo Vlogs,UC_hoQDD6zKcIqpIYLsFbBeA,Vlog
Hannah Hart,UCJQL1Fai-9GlVunsbP4x8Pg,Vlog
Jason Nash,UCCI_8nSz_TYWWaXMV475c9Q,Vlog
Philip DeFranco,UClFSU9_bUb4Rc6OYfTt5SPw,Vlog
JennaMarbles,UC9gFih9rw0zNCK3ZtoKQQyA,Vlog
Josh Peck,UCTr-klXfdXmrU9FEP987ueg,Vlog
FanForLouis,UCVrvnobbNGGMsS5n2mJwfOg,Travel
Jennelle Eliana,UCaXEr4t_QBZBk3qlIlc2HRg,Travel
Max & Lee,UCLkUBpw-hgIoHtI5owanaBA,Travel
Eamon & Bec,UC4laAHbk8VSgmvB47tsd2XQ,Travel
Sara & Alex James,UCaFdHs0RzJv5PnlQR-OFWFw,Travel
Homemade Wonderlust,UCQhqmV26773qZhzqJz4VFcw,Travel
Vaga Brothers,UCa1WbVCkTqd5ecG6G2adIow,Travel
Hey Nadine,UCB-Ps5DdRsVAcml-Y43o7RQ,Travel
Sailing La Vagabonde,UCZdQjaSoLjIzFnWsDQOv4ww,Travel
Lost LeBlanc,UCt_NLJ4McJlCyYM-dSPRo7Q,Travel
